row_id,display_comment,final_label,pred_indobert
23,di akhir zaman nanti uang kertas tak akan berguna lagi sbg alat tukar sebab mata uang akan dijadikan digital oleh sistem,Negatif,Netral
25,"Bener min lebih praktis rupiah digital, tapi risikonya juga watir 😅",Positif,Netral
39,"Mirip seperti XRP Ripple , bedanya kalo XRP itu kandidat pengganti Dollar US di masa depan, beberapa negara udah kerja sama dengan Ripple ,karena teknologi Ripple dengan blockhain dan ledger nya sudah di gunakan dengan fungsinya sebagai pembayaran, transaksi,transfer uang antar n...",Netral,Positif
41,"Terima kasih sudah sharing pemikiran disini 👍 Tapi yang perlu jadi catatan juga, rupiah digital ini sebagai pelengkap ya, untuk instrumen lainnya akan tetep ada. Ngomu pun state kekhawatiran demikian di video, tapi semoga ada solusi atas hal tersebut",Positif,Netral
43,"Menurut gue dana pemerintah aja si yang wajib pake CBDC, semua program pemerintah wajib pake alat itu, kalo tujuan utamanya adalah transparansi dan juga mengontrol penuh aliran dana nya bisa tepat atau enggak, juga bisa jadi mempermudah lacak koruptor",Negatif,Netral
55,"Rencana mrk berhasil, pdhl urgensinya apa jg kan, masih banyak pr, kecuali ini emg buat pejabat jd bisa pantau kelayaan mrk",Netral,Positif
62,apa cuma saya yang sangat yakin kalau CBDC sangat tidak cocok diterapkan di indonesia karena resiko penyalahgunaanya sangatlah besar?,Negatif,Netral
71,Sistem kredit sosial sudah diterapkan dichina Dan sebentar lagi juga akan diterapkan diindonesia. Klo nurut pemerintah maka aman dan klo kita ngeritik pemerintahan maka point kita akan minus dan akan kena sangsi,Negatif,Positif
79,"Dari segi keamanan perlu jadi pertimbangan juga, dikarenakan semakin maju teknologi, maka semakin canggih modus kejahatan/penipuan yg dapat menguras dompet digital kita.. Apakah ada jaminan dari pemerintah apabila saldo/uang digital kita hilang???",Netral,Negatif
82,"Zaman sdh transparan tdk bisa lg spt dulu. Siap atau tdk hrs siap. Blogchain sulit akan di haker . Server berhubungan dgn negara lain d jumlahnya bisa juataan . Satu server di bobol server lain sbg pengamanan dst nya, Berapa jumlah server seluruh dunia yg berfungsi tergantung kep...",Netral,Negatif
94,Saya masih tetap invest di Lunch bg Karna dia dulu yg bikin dompet gue sekarat Waktu Luna masih top koin sebelum berubah nama akibat perbuatan Do Kwon,Positif,Netral
98,"Maap aja. Ide digitalisasi bagus. Tp pemerintah nya ga bisa dipercaya, kualitas SDM pejabatnya kurang, skill cyber security nya buruk. Tapi yg utama adalah moral pejabatnya yg bikin meragukan.",Positif,Negatif
99,"Bagaimana bila saat di jalan kendaraan mogok, butuh orang untuk dorong, perlu kasih tips Bagaimana kalo HP nya yg error, hang dll Bagaimana kalo HP hilang di curi Maka Tabungan ikut MUSNAH !!!",Netral,Negatif
110,Setelah uang fiat dan fisik uncontrol bergeser ke cbdc....kok ujungnya sebagai alat kontrol ? Hehehe....metamorfosis aja kayaknya ini...siapa yg berhak mengawasi keluarnya uang digital ? Hehehehe....,Negatif,Netral
121,"Jaman berubah begitu cepat kita terpaksa beradaptasi juga harus cepat, sy harap dengan adanya cbdc keuangan menjadi tercatat dan bisa mengurangi korupsi di indonesia",Positif,Negatif
128,"Baru kemarin koko aku prepare cash money, waktu ditanya kenapa.. buat jaga2 kalau internet dan sistem perbankan ada gangguan tanpa ada penjelasan batas waktu. Nanti pas kalo kejadian kita perlu cash money gak ada.. bisa kesulitan utk pembayaran/beli obat obatan saat internet kola...",Netral,Negatif
130,CBDC model yg.kamu.ceritakan itu versi Dave State sudah berakhir .CBDC yg bisa sesuka hati mencetak jumlah coin Digital sesuka hati .karena tidak mengikuti Sistem ISO 20022 dan QFS.. CBDC ISO 20022 QFS tidak punya kuasa mencetak dan menentukan jumlah coin yg di keluarkan..QFS yg...,Positif,Netral
148,"2030 Agenda = Communism 2.0 Dari Video ini saya baru nyadar bahwa Negara2 seperti Palestina, Iran, Korea Utara, dan Kuba adalah Negara2 yang Merdeka karena terbebas dari yang Namanya Bank Sentral, Iran juga secara gak langsung menguasai dunia karena Selat Hormuz yang siap kapan s...",Netral,Negatif
166,perlu di ketahui jika semua mata uang di ganti digital adalah kita sebagai penegang uang digital tidak punya kuasa terhadap uang itu suatu saat bisa di nonaktifkan sama BANK SENTRAL dan kita harus tunduk segala ucapan BANK SENTRAL. mungkin ini salah satu cara untuk mengontrol man...,Positif,Netral
177,"​​@sutediheriyonoBaladMaUngnyata pake pajak setiap tarik tunai,top up dan banyak lagi",Positif,Netral
178,"Nggak ya kalau masalah nasabah yang tiba² banknya failit selama tercover LPS maka dana aman dan dikembalikan oleh negara, ini berlaku untuk bank swasta juga yang penting ada logo LPS nya",Netral,Negatif
190,"Tp knp klo pelanggan barcode qris,transaksi berhasil tp dana tdk langsung masuk ke rekening merchant.Misal pelanggan barcode pagi,dana masuk kerekening merchant siang atau sore,barcode malam keesokan harinya baru masuk ke rek.merchant.Ko bisa gitu?Harusnya transaksi berhasil.Lgsu...",Netral,Positif
198,Keamanan aj masi bobrok sok sok an pake digital Apagi ini data ktp yg mudah kali di akses oleh virus2 yg tak terdeteksi oleh penguna Situs pemerintah aj jebol apalgi data pribadi,Negatif,Positif
200,"Hidupkan kembali uang koin logam. Kalau tidak punya uang koin logam berarti negara itu sangat miskin. Kalau uang koin logam gak ada, bisa pakai sistem barter. Saya yakin Eropa gak bisa pakai sistem Barter karena eropa negara miskin gak punya sumber daya alam, kita aja yang bodoh...",Netral,Negatif
203,"​@Randiazuro.89betul , apa Selama ini tidak mudah dipantau ?",Netral,Negatif
207,@NgomonginUang Sama2. Sukses ya buat Ngomu....,Netral,Positif
213,"Ujung ujungnya pajak yang lebih masif. Dan kekayaan setiap yang pakai bisa terlacak. Lu ga bayar pajak duit lu langsung di potong pasti gitu niat nya. Sesuai semboyan 2030 ""you'll own nothing & be happy ------- Ga bakal gw pake. Mending gw pake usdt",Netral,Negatif
216,"@tgnimbus23 @Thomas Galang Prasetyo saya kira cbdc mau gak mau harus menerapkan sistem blockchain,apapun itu proyeknya,jika pun tidak,artinya hanya menambah rumit permasalahan keuangan,karena hanya menambah opsi yang sifatnya sama seperti ewallet biasa,saya kira pemikiran petingg...",Netral,Negatif
220,DigitalRupiah stable coin nya milik indonesia..harapan jangan dulu menghilangkan uang kertas di negri ini.karna masyarakat bawah perlu adaptasi untuk hal baru ini.,Netral,Positif
246,"ya, solusinya adalah jangan di pakek CBDC... & segera gunaka Bitcoin & kripto dalam kehidupan kita",Negatif,Netral
254,"Jangan harap bos, apapun produknya klo yg punya pemerintah maka pelayanannya tidak bakalan bagus. Bukannya diskon dan cashback yang ada malah tagihan asuransi yg tiba² muncul di mutasi. Sama kaya model pelayanan BRI yg dikit² bayar, antrian cs membludak, hobi nilep duit kembalian...",Positif,Negatif
261,Kasihan nenek yg ga ngerti internet bisa di bohongin,Negatif,Netral
265,"Rupiah digital mau dibuat utk memudahkan hacker gasak habis, program digital tempat maling bekerja, bnyk keluhan semua digital TDK di tanggapi pemerintah, LBH baik TDK dibuat digital",Negatif,Positif
266,Tekanan elit global ke pejabat2 yg pastinya.,Netral,Negatif
269,Technologi kita masih minim kurang setuju kalo harus menggunakan uang digital,Negatif,Positif
277,"pegang tunaimu simpan baik-baik jangan dirobek dikasih putung rokok apalagi -_- ntar BI ga mau cetak uang kertas lho, uang digital bakalan diintip semua ama dirjen pajak dan bank sentral -_-",Negatif,Positif
281,Tingkat keamanannya gimna ya? Apa tidak banyak teknologi yang bisa menciplak uang tersebut. Dari penjelasan ngomo ini sangat bagus. Kalau bisa sih 100.000. itu cukup dibuat 100 aja.,Netral,Positif
287,"@imron Rosadi Cara mengunakan rupiah digital kan harus di top up dulu biar masuk ke akun, mungkin ini konsep mirip aplikasi dana atau shoppe pay, dan ujung ujungnya pasti ada biaya admin top up.",Positif,Netral
321,"Intinya, sistem keuangan negara mau di intervensi elit global... Cuma alasan ny bertele-tele dan kita di larang keluar dari dollar!!!!! Simpel, sesederhana itu...",Netral,Negatif
324,Duit kita mudah di kontrol... Engga bebas mnggunakanya.. ...luar bbiasa,Positif,Negatif
335,Cuman ai doang GK kreatif,Netral,Positif
343,"Beli cangciut pakai HP, beli asin pakai hape , beli warteg juga, baso ,seblak, 🤣🤣🤣semua pakai hape. Sangat mudah, giliran hape mati dan gak bawa tunai terlanjur beli nasi padang yah wayahnya harus cuci piring🤪",Positif,Negatif
369,B E T U L ! semua digitalisasi akan berujung jebakan bangke.. apa lagi Konoha ga ada jaminan uang hilang bahkan di bank sekalipun. #Mau Modern Tapi Masih Jauh Dari Siap 😅😂😅😂😅😂😅😂😅😂😅😂😅😂😂😅😂😅😂😅😂😅😂😅😂😅😂😂😅😂😅,Netral,Negatif
392,"Kok bahasanya top up,",Positif,Netral
397,"skip dah, w lebih pro pake mastercard, selain ga ribet, praktis pas di exchange ke mata uang negara lain, dan bebas diambil dari puluhan negara yang bermitra.",Positif,Negatif
411,"Rasanya, hal itu memang perlu dipikirkan lagi..",Positif,Netral
444,Wah.. rencana jahatnya! Seperti Amerika sekarang mencekek adik-adiknya? 😮,Negatif,Netral
485,Iya saya juga curiga pak Mardigu ikut campur dipemerintahan tapi dari belakang layar👍.,Negatif,Netral
491,Selalu ada + - nya ...sangat efektif u/ memantau arus keuangan yg jujur (para koruptor pasti yg paling menentang)....,Negatif,Positif
495,"gak bakal pernah mati, soalnya anda aja mengakses internet baik itu google atau medsos aja itu gak pernah mati selama 24 jam setiap hari. kalo mau tau anda ngakses internet aja itu karena komputer server dan server gak bakal pernah mati, sekalinya mati bakal otomatis di backup.",Positif,Negatif
500,"Contactless payment aja masih jarang dipakai, apalagi mau dibuat uang secara virtual. Nyatanya pembayaran cashless sekarang ini kebanyakan hanya di jakarta, di luar itu masih jarang transaksi secara cashless",Negatif,Netral
508,Sampai sekarang aja saya masih takut sama hacker aplikasi yg dikirim oknum via WhatsApp. Gimana yang udah nenek2 gaptek?,Netral,Negatif
512,"Inget kalau mau digital system security nya yang bener, yang udah-udah juga data banyak yang bocor apalagi ini uang digital.",Netral,Negatif
515,"Perlu diinget, ini bukan serta merta gantiin semua uang ya. Ini sebagai pelengkap instrumen transaksi yang udah tersedia sebelumnya 😄",Positif,Netral
524,uang tunai gak akan tergantikan,Negatif,Netral
532,Ada biaya admin top up gk.???,Positif,Netral
557,"CBDC ngerusak narasi uang digital yang dibawakan oleh crypto, khususnya BITCOIN CBDC memperkuat kontrol pusat Sedangkan, BITCOIN membebaskan kita dari kontrol pusat dan memberikan kendali pada kita Pelajari BITCOIN biar ga mudah tertipu oleh crypto lain dan juga uang yang sangat...",Positif,Negatif
558,"sejak dulu gitu, inggris 2x perang PD 1 dan 2 dengan pondsterlingnya yang berkuasa hampir seluruh dunia tumbang, diganti us dollar sekarang amerika dipaksa perang sampe boncos sama israel, kemungkinan dollar akan tumbang dengan us porak poranda, maka digital currency global akan...",Negatif,Netral
596,Seluruh rakyat Indonesia pasti bangga. Apalagi dg keamanan cyber yg super canggih dan sangat aman dari heker. 🤣🤣🤣,Netral,Negatif
616,Bank Indonesia paling Jos. Makin memikirkan perkembangan teknologi utk kemudahan masyarakat dalam bertransaksi. Mantab.,Netral,Positif
622,"Kalo ini jelas di dukung..... Tetapi Yang harus diutamakan Adalah.... "" KEAMANAN CYBER "" ...... Bjorka aja masih blom ketangkep, gimana Rp digital bisa aman? 😆",Negatif,Positif
629,Kira-kira siapa yg mengusulkan ide agar indonesia menerapkan cbdc ini? Gak yakin kalo pejabat di BI dan pemerintahan bisa sampe kesana ide pemikirannya,Negatif,Netral
632,Supaya gampang korupsinya tinggal tambah 0000000💯,Netral,Negatif
641,"@hardiantorahmatullah4405BI checking itu perlu dan berguna, krn banyak orang berhutang ga mau bayar.",Negatif,Positif
645,"Digital rupiah pake teknologi blockchain ? Di china ud uji coba sukses, kl indonesia bs seJakarta-surabaya pake aja ud hebatt",Netral,Positif
671,"Enak dong, sebab pemerintah bisa dapat untung dari aplikasinya nanti. Bayangkan berapa juta penduduk indonesia akan berhadapan sistem rupiah digital tersebut, dimana harus melalui aplikasi khusus produk pemerintah. Royaltinya akan dikemanakan?",Netral,Positif
681,"kalau bisa pengambil keputusan,jangan langsung mau memakai rupiah digital kalau belum teruji manfaatnya,nanti jadinya orang2 luar akan memanfaatkan keluguan kita,karena memang mereka menguasai tehnologi.",Negatif,Netral
684,"OK Indonesia Tidak cocok, karena tidak demokrasi dan banyak diktator",Netral,Negatif
705,"Uang tunai fisik itu atau logam mulia fisik adalah senjata utama para koruptor dan para penyuap, terkadang heran bagaimana bisa uang koruptor bisa ada di bank luar negeri",Positif,Negatif
707,"CBDC adalah gagasan yg sangat tolol tapi seolah olah untuk memudahkan deteksi kejahatan dalam penggunaan uang . Uang kertas bukan sesuatu kejahatan ,yg jahat itu cara orang memperolehnya dan menggunakannya. Bila CBDC diberlakukan maka orang berbondong 2 akan menukarkan harta keka...",Positif,Netral
726,Nasib pengamen dimasa depan gimana?,Netral,Positif
747,"Bank swasta selain nggak bisa ngapa²in, juga nggak jadi apa², artinya siap² DIBUBARKAN.",Netral,Positif
766,"hadehhh... tukang cetak duit malah bikin versi duit lagi 1. mending lu perbaiki dulu deh nilai tukarnya, ah elah kagak sadar diri ini tukang cetak duit. 2. keamanan data aja kagak jelas. 3. BTW REDENOM KAPAN ?? wacana udah puluhan tahun kagak di kerjain. 4. duit digital = lu kehi...",Negatif,Netral
769,"Fungsi crypto mengajak menggiring,.... Mata uang digital fungsi nya Terlacak, .... Terlacak dan terlacak, sedangkan fiat bisa tidak terlacak...... Kenapa keuangan baru harus mudah terlacak kepemilikan nya?",Positif,Negatif
772,Wah gak perlu RDN lagi dong?,Positif,Netral
774,"tambah ruwet apa, teknologi itu untuk mempermudah bkn mempersulit..",Positif,Netral
799,Pasti dikorupsi oleh pemerintah wkkk,Netral,Negatif
826,"RIP hak kepemilikan, yang ada hak akses/guna.. mirip² dengan kuota internet yang udah dibeli, data pribadi yang inputkan ke internet, akun yang ""dimiliki"" di medsos.. gak benar benar dimiliki karna nirkontrol. Internet itu sendiri tidak dimiliki, siapa yang punya internet?",Negatif,Netral
838,"Uang (Rupiah) digital ??? Jangan sok CANGGIH lah sistem perbankan sudah didukung TEKNOLOGI INFORMASI. Uang digital meningkatkan ""ketergantungan"" pada KOMUNIKASI SELULAR !!! Paham gak konsekuensinya ???",Netral,Positif
857,Akan tiba suatu masa di mana kang parkir dan pak ogah hanya menerima cashless di saat itulah kita benar2 kehilangan nilai uang kita,Negatif,Netral
873,"Ini negara asn nya 99,98% rampok, maling, begal, manipulatif mau gk mau masyarakat tertular jadinya masyarakat prilakunya ya bgtu tidak berakhlak, gk punya nurani jadinya yg berlaku cuma hukum rimba btw tq atas masih ada optimisme dr diri mu GBU n family n 4 all good person. ​@Jo...",Netral,Negatif
919,"BI menggunakan CBDC nya dengan model hybrida dimana BI tidak punya indentitas nasabah tapi di Bank swasta yang memiliki indentitas nasabah nya,(sesuai dengan UU perlindungan data pribadi) jadi bank sentral hanya melihat arus uang nya saja tapi tidak dengan indentitas nya 😅😅😅😅",Negatif,Netral
936,Andai tau cara bikin uang digital pasti ga perlu kerja keras 😅,Netral,Positif
940,"Tujuan dibentuk sistem blockchain justru adalah untuk mendesentralisasi sistem keuangan, bukan sebaliknya. kalo misalnya rupiah digital dibuat untuk tujuan sentralisasi sangat berlawanan dengan semangat blockchain itu sendirii.. apalagi jika dipimpin oleh pemerintah yang diktator",Negatif,Netral
983,minusnya uang digital yaitu kl jualan kt laris terjual uangnya nggak bisa digunakan buat tepuk2 barang dagangan kyk yg biasa dilakuin para pendagang tradisional yg itu perlu dipertimbangkan jg,Positif,Netral
1007,"Mati lampu,,tidak ada sinyal ,,tidakpunya hp ,,,tidak bisa belanja dong",Negatif,Netral
1027,Aseeeeek.... Bank yg senang memasukan nominal yg Mereka ingin kan..... ujung nya bermasalah dan kembali ke Emas dan perak tidak perlu cetak duit kartal lagi..... siapa yg kuasa terhadap uang...digital..???,Positif,Netral
1029,itu biasanya berlaku buat negara2 demokrasi krn pejbat terpilih mau2 gk mau hrs kembali modal sblm mreka hbis masa jabatan😂🤣,Netral,Negatif
1042,sukses terus untuk kamar film🙏♥️🥰,Netral,Positif
1049,Tanda binatang the beast 666,Negatif,Netral
1062,Aku lebih suka bayar cas ...takutnya ya gitu hp rusak atau sistim ngadat .,Netral,Negatif
